Term,Posting List Size
englishman,4800
salt,2400
26th,2400
cabinwindow,2400
recorded,7200
wordsworths,2400
virtues,18000
abroad,7200
erect,2400
teacher,2400
posture,2400
outstript,2400
believing,4800
take,50400
kiss,2400
dozing,2400
firmly,7200
compass,2400
science,60000
climate,4800
within,82800
whaler,2400
prevented,4800
remain,52800
permanent,2400
codes,2400
tone,7200
irksome,14400
energetically,2400
relied,7200
similar,2400
pronounced,12000
amongst,2400
muhammadan,2400
certainty,12000
expenses,4800
drunken,2400
writhed,4800
degrees,28800
hushed,4800
instants,2400
closely,3600
intermixed,2400
debarred,2400
lose,18000
hitherto,28800
foundations,13200
deduce,2400
junior,2400
greenland,2400
cordial,2400
habits,9600
furious,4800
amidst,19200
scared,4800
crept,15600
established,2400
modern,33600
flight,9600
boundary,10800
appeal,2400
mule,4800
strive,2400
montanvert,4800
any,256800
uneven,2400
whitewashed,2400
90,4800
catholic,2400
lyons,2400
distinct,16800
frame,33600
further,7200
serve,2400
pouring,2400
vicar,2400
behold,31200
pieces,7200
final,4800
enjoyed,30000
halfpainful,2400
italians,2400
aloud,14400
abandon,4800
bounded,7200
something,40800
pulse,7200
november,2400
followed,50400
confessed,13200
conjectures,2400
groans,12000
thinks,2400
tenderest,4800
entreaties,9600
noise,2400
selfcontrol,2400
conscious,7200
sources,4800
acquaintances,2400
amazed,2400
snatched,9600
vent,4800
5961887,2400
unhallowed,9600
unsolicited,2400
excites,2400
hungry,4800
dn,2400
daily,19200
spoiler,2400
debasing,2400
viewing,2400
swimming,2400
composure,9600
alike,7200
tend,2400
halfclothed,2400
cooking,2400
clasping,4800
palpitate,2400
stepped,4800
peaceable,2400
sister,63600
similarity,2400
complain,2400
revenge,51600
prophetic,4800
effectual,2400
as,1034400
enkindled,2400
friends,126000
none,43200
instances,4800
edge,7200
earnestness,7200
counsellors,2400
mischief,12000
sound,51600
benumbed,2400
