Term,Posting List Size
irish,32
face,312
solicit,32
damage,32
barricade,16
fame,16
closer,48
halffinished,16
travel,64
ship,120
mean,176
approached,288
echoed,16
fears,160
row,16
ridges,16
neverfailing,16
miracle,16
then,1608
mournful,72
arab,16
28th,16
accessed,16
drink,64
promoting,32
mankind,176
unconscious,32
bright,112
unmolested,16
imperial,16
flowed,64
glacier,72
i,27608
diversity,16
convulsed,16
la,16
vows,16
danger,184
selfish,64
follows,16
dirge,16
energy,16
anon,16
angrily,16
creations,32
jeer,16
eat,64
evidently,48
beside,112
content,112
tutored,16
postponed,32
possible,176
crept,104
afford,160
successive,16
shutting,32
servant,112
try,64
maddening,32
britain,32
pole,56
star,16
slaughterhouse,16
sympathiesas,16
repassed,16
misty,16
apprehensions,32
rouses,16
wouldst,16
seeing,128
unhappiness,64
rends,16
solon,16
passports,16
unnatural,48
impulses,48
reflection,208
appearing,32
yielded,48
property,96
airy,32
abyss,16
sixteen,16
steeples,16
deprived,176
hundredfold,16
frankensteinmore,16
entertained,48
improvements,48
overthese,16
kindling,16
dec,16
foot,80
voice,728
ballots,16
clinging,16
unfolded,32
herb,24
presentiment,32
diverted,32
concealed,96
securing,16
industriouspainstaking,16
threaten,16
vast,168
illfated,16
postroad,16
collecting,80
arabian,208
live,400
presencechamber,16
boss,16
personally,32
inextinguishable,16
lofty,64
agreed,96
irretrievably,16
imperatively,16
mark,96
relinquishing,16
hate,136
frightened,48
obedient,16
prolong,48
lineaments,32
eventful,16
hills,168
information,256
hundredth,16
rent,56
hesitate,16
detestable,32
judith,16
grieve,16
read,464
penetration,16
abrupt,16
wishes,104
enthusiasm,176
annoying,16
vent,32
devoured,16
brother_,16
house,552
curtain,16
muscles,48
behind,176
use,312
lively,128
within,552
italian,32
wall,16
assembled,16
shape,104
20,48
new,640
steep,16
smile,144
coarse,64
swell,16
sweetness,48
inclination,16
longlost,16
fortitude,80
extracting,16
jura,80
impervious,16
turned,384
tenderly,80
ribbons,16
wrought,16
cheerful,176
something,272
kind,528
weakened,32
repair,16
shipping,16
ardour,208
swallow,16
lean,32
subject,264
await,32
placing,32
website,64
dejected,16
changed,152
souls,32
heat,112
repay,32
wonderful_,16
execution,128
them,1776
flitted,16
outside,48
flashed,16
rambling,32
swifter,16
denied,16
alarmed,96
