Document Count,Indexing Duration
980,39.792µs
981,12.875µs
982,39.5µs
983,29.375µs
984,31.209µs
985,16.75µs
986,36.459µs
987,43.75µs
988,24.791µs
989,12.5µs
990,14.375µs
991,18.458µs
992,17.583µs
993,76.041µs
994,23.833µs
995,15.584µs
996,27.75µs
997,104.75µs
998,44.416µs
999,120.958µs
1000,29.708µs
1001,50.333µs
1002,35.917µs
1003,21.208µs
1004,3µs
1005,74.042µs
1006,19.416µs
1007,34.375µs
1008,4.041µs
1009,69.167µs
1010,9.791µs
1011,9.25µs
1012,10.75µs
1013,13.792µs
1014,7.958µs
1015,16.708µs
1016,22.667µs
1017,15.125µs
1018,32.291µs
1019,24.709µs
1020,17.083µs
1021,171.542µs
1022,4.333µs
1023,100.792µs
1024,340.291µs
1025,131.75µs
1026,243.25µs
1027,106.417µs
1028,177.5µs
1029,185.959µs
1030,117.333µs
1031,59.958µs
1032,54.75µs
1033,105.708µs
1034,195.583µs
1035,116.916µs
1036,98µs
1037,75.416µs
1038,108.292µs
1039,59.209µs
1040,62.125µs
1041,366.917µs
1042,462.042µs
1043,172.166µs
1044,115.917µs
1045,312.916µs
1046,289.834µs
1047,8.417µs
1048,22.166µs
1049,123µs
1050,534.292µs
1051,147.583µs
1052,123.709µs
1053,110.125µs
1054,43.958µs
1055,304.25µs
1056,60.583µs
1057,100.584µs
1058,302.167µs
1059,42.709µs
1060,90.583µs
1061,146.375µs
1062,165.084µs
1063,42.333µs
1064,140.333µs
1065,72.542µs
1066,93.916µs
1067,223.375µs
1068,162.542µs
1069,102.667µs
1070,214.291µs
1071,176.5µs
1072,30.125µs
1073,128.375µs
1074,65.375µs
1075,47.375µs
1076,53.292µs
1077,70.875µs
1078,343.75µs
1079,4µs
1080,10.125µs
1081,99.541µs
1082,35µs
1083,8.208µs
1084,12.833µs
1085,18.792µs
1086,14.458µs
1087,16.166µs
1088,37.584µs
1089,10.125µs
1090,33.75µs
1091,63.541µs
1092,3.875µs
